Row,Col,GlacierName,Cell_Type,GlacierID
340,192,,1,
341,192,,1,
342,191,,1,
342,192,,-1,
343,191,,1,
344,191,,1,
345,190,,1,
345,191,,-1,
346,190,,1,
347,190,,1,
347,191,,-1,
348,191,,1,
348,192,,-1,
349,192,,1,
349,193,,1,
350,193,,1,
351,193,,1,
352,193,,1,
353,192,,1,
353,193,,-1,
354,192,,1,
355,191,,1,
355,192,,-1,
356,190,,1,
356,191,,-1,
357,190,,1,
358,190,,1,
359,190,,1,
360,190,,1,
360,191,,1,
360,192,,1,
361,192,,1,
362,187,,-1,
362,188,,-1,
362,189,,-1,
362,190,,-1,
362,191,,-1,
362,192,,-1,
363,183,,-1,
363,184,,-1,
363,185,,-1,
363,186,,-1,
363,187,,-1,
364,177,,1,
364,178,,-1,
364,179,,-1,
364,180,,-1,
364,181,,-1,
364,182,,-1,
364,183,,-1,
365,177,,1,
366,176,,1,
366,177,,1,
367,176,,1,
368,176,Zachariae,6,102
369,176,,1,
369,177,,1,
369,191,,-1,
370,177,,1,
370,178,,1,
370,188,,-1,
370,189,,-1,
370,190,,-1,
370,192,,-1,
370,193,,-1,
370,194,,1,
371,178,,1,
371,179,,-1,
371,180,,-1,
371,186,,-1,
371,187,,-1,
371,194,,1,
372,180,,1,
372,182,,-1,
372,185,,-1,
372,194,,1,
373,180,,1,
373,181,,-1,
373,183,,-1,
373,184,,-1,
373,194,,1,
402,91,,1,
402,92,,-1,
403,91,,1,
404,90,,1,
404,91,,-1,
405,89,,1,
405,90,,-1,
406,89,,1,
407,88,,1,
407,89,,-1,
408,87,,1,
408,88,,-1,
409,86,,1,
409,87,,-1,
410,85,,1,
410,86,,-1,
411,85,,1,
412,84,,-1,
412,85,,-1,
413,83,,1,
414,83,,1,
415,82,,1,
415,83,,-1,
416,81,79N,-6,101
416,82,,-1,
417,79,,1,
417,80,,-1,
417,81,,-1,
418,78,,1,
418,79,,-1,
419,78,,1,
420,78,,1,
421,77,,1,
421,78,,-1,
422,74,,1,
422,75,,-1,
422,76,,-1,
422,77,,-1,
423,73,,1,
423,74,,-1,
424,72,,1,
424,73,,-1,
425,72,,1,
426,72,,1,
427,72,,1,
428,72,,1,
429,72,,1,
430,72,,1,
431,72,,1,
432,72,,1,
433,72,,1,
434,72,,1,
435,72,,1,
436,72,,1,
437,72,,1,
438,72,,1,